,4783
SK하이닉스,0.0067085608391550915
POSCO홀딩스,0.005748774736434654
기아,0.0015439601858708272
포스코퓨처엠,0.0021125951955621304
메리츠금융지주,0.007953011074670384
한화오션,0.004801264512991439
HD한국조선해양,0.0033594190038045164
삼성중공업,0.006050511453581251
한화에어로스페이스,0.00024256062691404743
CJ,0.007109630330178663
LS,0.0005903810532879931
CJ대한통운,1.6917909999357055e-05
DB하이텍,0.0021619715003352215
한미사이언스,0.005008311574376277
한전기술,0.0065409816658681215
LS ELECTRIC,0.0078090200348976515
한국앤컴퍼니,0.00028731067801111653
OCI홀딩스,0.0008491233098345334
한올바이오파마,0.007662952966887887
현대엘리베이,0.0015133372093129307
삼양식품,0.008071630715974318
금호타이어,0.00469552718028939
두산,0.006946206774004138
에스엘,5.310608675853463e-05
LX세미콘,0.00045579973044860916
SK가스,0.00285466762106129
SK네트웍스,0.0014302752412208867
코스모화학,0.0021822348565069664
한샘,0.0030123656141642957
후성,0.005495459329792722
영원무역홀딩스,0.0059372872731952
세아베스틸지주,0.00826741659805408
세아제강지주,0.00592938259830387
넥센타이어,0.0018508085198817394
세방전지,0.0016637760220214084
DI동일,0.006887248121878606
SK디스커버리,0.003273373090169232
한국단자,0.006206838225118809
JW중외제약,0.00030128085226015184
HSD엔진,0.006919005473666216
한화투자증권,0.00035569267199390443
경동나비엔,0.00789251724855411
자화전자,0.003393316907008231
SNT다이내믹스,0.006569611785171267
흥아해운,0.004471300139437812
빙그레,0.0006660925478324633
대상홀딩스,0.0021235698767194866
엘브이엠씨홀딩스,0.003948888142650057
신성이엔지,0.0017436371943254452
E1,0.00461624524450677
삼화콘덴서,0.0045759729225433865
LX하우시스,0.0026096782434873863
광동제약,0.0043650644103612425
코리아써키트,0.0030165666136516326
화신,0.0010628058621679347
현대퓨처넷,0.004073712484344567
풍산홀딩스,0.00030231838906445577
KISCO홀딩스,0.0005466091066548158
아세아,0.005584617808639557
남선알미늄,0.001285704887564868
STX중공업,0.0018221183420392675
대원강업,0.006605821381923695
포스코스틸리온,0.005173112947453302
대한제당,0.007004925481484104
스틱인베스트먼트,0.007532582144677124
사조대림,0.0034954332574149215
알루코,0.0011211973856133063
YG PLUS,0.0021155226047572494
한농화성,0.004573979941944232
현대비앤지스틸,0.007458466723100222
한솔테크닉스,0.005604759527619111
GS글로벌,0.007671005567056658
태경비케이,0.008300866621432652
디아이씨,0.002312634226095881
우진,0.0070843818937252785
벽산,0.004746167245329488
에이블씨엔씨,0.0028108873535948316
NI스틸,0.004060519874037801
디아이,0.005824380172780675
SNT에너지,0.0019189226691360393
디와이,0.0062876498842441625
태경케미컬,0.003535612281708821
극동유화,0.007431494656470171
가온전선,0.007509924200141153
국제약품,0.004151923126091157
한국수출포장,0.007998260872414814
DRB동일,0.0023781386284481587
유니퀘스트,0.00424718992905417
웅진,0.007077925182953358
광명전기,0.0006133443822125105
아센디오,0.0034339482542271637
성안,0.008545127197281534
부국철강,0.0073879060473204675
화천기계,0.0013088067220327997
콤텍시스템,0.004331395816707895
인팩,0.003117800932470201
상신브레이크,0.0014025827191780302
동원금속,0.0024408641074745835
평화산업,0.001257268129971225
유엔젤,0.0072416390727772775
태원물산,0.006934265790021155
한성기업,0.004074050738670939
한국주강,0.0030839490359461596
HLB,0.006653568871159294
셀트리온제약,0.001641293402424477
JYP Ent.,0.005623593218457017
리노공업,0.008089737302285037
에스엠,0.0011197780115232868
동진쎄미켐,0.007886939196164316
이오테크닉스,0.00019145273803246684
삼천당제약,0.003727577485984431
메디톡스,0.005403035727976379
나노신소재,0.004265491136510525
동화기업,0.004350147353663819
대주전자재료,0.004641565678423722
SFA반도체,0.00014057118256695277
와이지엔터테인먼트,0.004971951177246658
에스앤에스텍,0.008438766603224295
솔브레인홀딩스,0.008074798660048647
유진테크,0.003170441405181035
차바이오텍,0.0031694627545967376
아프리카TV,0.0055191884805186105
이엠텍,0.007557922386521779
성우하이텍,0.0059889011411891424
에프에스티,0.007948497273940744
우리기술투자,0.005702441731291283
티에스이,0.006682293335633112
제우스,0.008308751881378047
케이아이엔엑스,0.008348649236453056
네패스,0.006723083317836045
월덱스,0.005669660707538827
시노펙스,0.0013423918698470326
테스,0.0008690902883339532
비츠로셀,0.0035037548769702863
테크윙,0.0016807293581784372
하이록코리아,0.0017541290939694296
켐트로닉스,0.0008599190359819379
한글과컴퓨터,0.0019273776619101342
이엔에프테크놀로지,0.00475343718782273
엘오티베큠,0.0034144231160926487
덕산하이메탈,0.0009576345933978664
인바디,0.0035836733589840798
제룡전기,0.0031379263237917474
LS마린솔루션,0.0021405380776471994
미래컴퍼니,0.0026363642477638936
태웅,0.0005968796437461768
동국산업,0.0037019348886500186
디엔에프,0.004535499660178759
로보스타,0.007992545580735585
토비스,3.6369276188809924e-05
대아티아이,0.0055595972161844465
케이알엠,0.00284913446338801
유니셈,0.007592638586110911
네오위즈홀딩스,0.003101156110964363
아바코,0.005722338476647085
가비아,0.007407367566040536
씨티씨바이오,0.008344691595127456
상신이디피,0.004030627977411842
마크로젠,0.0008277237539009286
GST,0.008425040237778137
부방,0.00652994602793366
한양디지텍,0.0034557348790717943
한국전자금융,0.008193421809549737
휴비츠,0.0027295520615459833
코아시아,0.003105758446057363
에코플라스틱,0.0035389595422532032
네오팜,0.0073729203398589654
코세스,0.0029061286731941584
아비코전자,0.0021912630433974113
피에이치에이,0.0063971495206901164
매커스,0.0037926932061459816
팅크웨어,0.0013246952256548692
제이스텍,0.007291300469466818
동양이엔피,0.0071848150958389164
지어소프트,0.007351536763620107
이스트소프트,0.007126502555551244
모베이스전자,0.00016995833254492956
세종텔레콤,0.0022233595844498304
인성정보,0.002432953847961262
KNN,0.0008471130417692819
에이티넘인베스트,0.0005980915528012734
오리엔탈정공,0.0019092030888281082
삼보모터스,0.0037353872113287923
대성창투,0.00023040410974900413
흥구석유,0.0022549068522336826
3S,0.006478386927692545
유비벨록스,0.0007789031700104963
솔본,0.0030156867378375225
케이에스피,0.00841690199432106
파라텍,0.0014538181968979339
유아이엘,0.00020478909229549566
세코닉스,0.0016932135524978902
시그네틱스,0.005256138337625032
에이테크솔루션,0.003960866747255772
에이텍,0.005395606677557688
우수AMS,0.0036398619013251147
오상자이엘,0.006677705854818356
메타바이오메드,0.002905584387210029
라온시큐어,0.0012223894607568792
인포뱅크,0.005667690749056185
EG,0.00016657723672605526
피제이메탈,0.007899936405614857
시공테크,0.006291764104559395
코리아에프티,0.003994247310450472
YBM넷,0.0016235083144806198
한국컴퓨터,0.004556168280594076
제이티,0.0018360178058008361
브리지텍,0.00616694854591111
경창산업,0.0008868040344704924
이라이콤,0.002103717024856243
에이루트,0.0008381537245144222
웨이브일렉트로,0.0063253267104162155
제일테크노스,0.007114835804501097
손오공,0.003653549665688974
모베이스,0.005480193265996339
구영테크,0.0075498084802747105
성호전자,0.003011245926486355
프리엠스,0.005593815779784761
푸른기술,0.007713290079023163
슈프리마에이치큐,0.0060817983976728714
서진오토모티브,0.00569657667523034
대창솔루션,0.0046421230589197456
누리플렉스,0.004707691997996689
제이엠티,0.007156569211487045
루멘스,0.0007370125516589123
웨스트라이즈,0.004764500233693813
아이크래프트,0.003887379904440787
재영솔루텍,0.00786315017478591
오스템,0.0006890633178810864
아이엠,0.004963212065190213
KB오토시스,0.0034048105588959277
일지테크,0.002281989022286305
KBI메탈,0.0008524219014199781
팬스타엔터프라이즈,0.0006275096357739224
모헨즈,0.0013419362483733847
앤씨앤,0.0009968094192171137
토탈소프트,0.003818932573848958
메디앙스,0.003169518386092034
뉴보텍,0.005214719835119362
세동,0.0014877568393286344
에스앤더블류,0.003602404257370436
스카이문스테크놀로지,0.007513449300540013
