Cluster,Name,Code
6,삼성전자,005930
2,LG에너지솔루션,373220
4,SK하이닉스,000660
2,삼성바이오로직스,207940
0,POSCO홀딩스,005490
6,현대차,005380
6,NAVER,035420
4,기아,000270
2,LG화학,051910
1,삼성SDI,006400
0,포스코퓨처엠,003670
6,셀트리온,068270
6,삼성물산,028260
2,카카오,035720
6,현대모비스,012330
6,KB금융,105560
6,신한지주,055550
6,LG전자,066570
1,SK이노베이션,096770
4,삼성에스디에스,018260
6,LG,003550
6,카카오뱅크,323410
2,SK,034730
6,한국전력,015760
6,하나금융지주,086790
4,메리츠금융지주,138040
6,삼성전기,009150
6,SK텔레콤,017670
2,HMM,011200
6,HD현대중공업,329180
4,크래프톤,259960
2,고려아연,010130
6,두산에너빌리티,034020
4,하이브,352820
6,우리금융지주,316140
6,KT,030200
6,대한항공,003490
0,한화오션,042660
4,HD한국조선해양,009540
2,S-Oil,010950
2,아모레퍼시픽,090430
4,SK바이오팜,326030
4,SK스퀘어,402340
4,삼성중공업,010140
6,현대글로비스,086280
0,한화에어로스페이스,012450
1,카카오페이,377300
0,SK아이이테크놀로지,361610
2,LG이노텍,011070
4,한국타이어앤테크놀로지,161390
1,한화솔루션,009830
2,SK바이오사이언스,302440
1,엔씨소프트,036570
6,유한양행,000100
6,삼성엔지니어링,028050
2,CJ제일제당,097950
6,HD현대,267250
0,현대오토에버,307950
6,현대제철,004020
2,한국항공우주,047810
2,LG디스플레이,034220
6,LG유플러스,032640
2,오리온,271560
4,두산밥캣,241560
6,한미약품,128940
6,현대건설,000720
2,코웨이,021240
6,GS,078930
6,삼성카드,029780
2,한온시스템,018880
6,금호석유,011780
0,한진칼,180640
6,NH투자증권,005940
2,SKC,011790
6,한국금융지주,071050
2,강원랜드,035250
2,현대미포조선,010620
4,한화시스템,272210
6,현대로템,064350
0,HD현대일렉트릭,267260
2,롯데지주,004990
4,CJ,001040
6,LIG넥스원,079550
4,CJ대한통운,000120
0,LS,006260
0,DB하이텍,000990
4,한미사이언스,008930
2,호텔신라,008770
6,농심,004370
2,GS리테일,007070
4,한전기술,052690
6,한솔케미칼,014680
2,한국가스공사,036460
6,한화생명,088350
1,팬오션,028670
6,에스원,012750
2,제일기획,030000
6,휠라홀딩스,081660
6,BNK금융지주,138930
1,아모레G,002790
1,씨에스윈드,112610
2,롯데쇼핑,023530
0,한국앤컴퍼니,000240
0,LS ELECTRIC,010120
6,영원무역,111770
4,JB금융지주,175330
1,롯데에너지머티리얼즈,020150
6,KCC,002380
6,한화,000880
0,OCI홀딩스,010060
2,동서,026960
6,대우건설,047040
0,한올바이오파마,009420
0,현대엘리베이,017800
2,신세계,004170
6,효성첨단소재,298050
2,HL만도,204320
6,현대위아,011210
2,하이트진로,000080
6,한전KPS,051600
4,종근당,185750
6,효성티앤씨,298020
0,삼양식품,003230
1,에스디바이오센서,137310
1,KG모빌리티,003620
2,오뚜기,007310
6,롯데정밀화학,004000
3,HD현대인프라코어,042670
0,금호타이어,073240
2,동원산업,006040
0,두산,000150
6,DL이앤씨,375500
2,대한전선,001440
6,효성,004800
4,에스엘,005850
6,DGB금융지주,139130
2,녹십자,006280
1,두산퓨얼셀,336260
4,SK가스,018670
4,솔루엠,248070
0,덴티움,145720
0,코스맥스,192820
2,롯데칠성,005300
4,LX세미콘,108320
0,코스모화학,005420
4,SK네트웍스,001740
2,GS건설,006360
1,대웅제약,069620
0,대덕전자,353200
4,한샘,009240
6,롯데웰푸드,280360
2,현대백화점,069960
4,한국콜마,161890
2,LX인터내셔널,001120
6,코오롱인더,120110
2,SK케미칼,285130
0,후성,093370
2,SK리츠,395400
6,풍산,103140
2,대웅,003090
4,영원무역홀딩스,009970
2,대한유화,006650
2,DL,000210
1,동원시스템즈,014820
6,롯데렌탈,089860
2,영풍,000670
4,명신산업,009900
6,오리온홀딩스,001800
2,SK오션플랜트,100090
0,세아베스틸지주,001430
1,HD현대건설기계,267270
0,해성디에스,195870
6,TKG휴켐스,069260
1,더존비즈온,012510
6,PI첨단소재,178920
2,일진하이솔루스,271940
2,제주항공,089590
0,드림텍,192650
2,아이에스동서,010780
1,솔루스첨단소재,336370
2,하나투어,039130
1,GKL,114090
6,제이알글로벌리츠,348950
4,넥센타이어,002350
6,미원상사,002840
2,NHN,181710
1,율촌화학,008730
2,아시아나항공,020560
2,다우기술,023590
4,세방전지,004490
0,DI동일,001530
4,세아제강지주,003030
2,롯데리츠,330590
2,ESR켄달스퀘어리츠,365550
4,SK디스커버리,006120
2,비에이치,090460
6,보령,003850
4,한국단자,025540
1,롯데관광개발,032350
2,녹십자홀딩스,005250
6,대상,001680
4,SK디앤디,210980
1,CJ CGV,079160
2,태광산업,003240
6,DN오토모티브,007340
4,경동나비엔,009450
0,JW중외제약,001060
4,HSD엔진,082740
2,대한해운,005880
0,한화투자증권,003530
6,KCC글라스,344820
2,진에어,272450
2,동아쏘시오홀딩스,000640
6,SNT모티브,064960
6,동원F&B,049770
