Code,Name,상장일
425040,티이엠씨,2023-01-19
389470,인벤티지랩,2022-11-22
084440,유비온,2022-11-18
383930,디티앤씨알오,2022-11-11
405100,큐알티,2022-11-02
417840,저스템,2022-10-28
441270,파인엠텍,2022-10-07
397030,에이프릴바이오,2022-07-28
310210,보로노이,2022-06-24
412350,레이저쎌,2022-06-24
148780,비플라이소프트,2022-06-20
146320,비씨엔씨,2022-03-03
370090,퓨런티어,2022-02-23
199800,툴젠,2021-12-10
377480,마음AI,2021-11-23
222160,바이옵트로,2021-11-18
311320,지오엘리먼트,2021-11-11
348370,엔켐,2021-11-01
382800,지앤비에스 에코,2021-10-29
114840,아이패밀리에스씨,2021-10-28
261780,차백신연구소,2021-10-22
382840,원준,2021-10-07
383310,에코프로에이치엔,2021-05-28
252990,샘씨엔에스,2021-05-20
352480,씨앤씨인터내셔널,2021-05-17
361610,SK아이이테크놀로지,2021-05-11
059270,해성티피씨,2021-04-21
334970,프레스티지바이오로직스,2021-03-11
322310,오로스테크놀로지,2021-02-24
239890,피엔에이치테크,2021-02-16
950210,프레스티지바이오파마,2021-02-05
163730,핑거,2021-01-29
236810,엔비티,2021-01-21
368770,파이버프로,2021-01-21
356860,티엘비,2020-12-14
299030,하나기술,2020-11-25
330860,네패스아크,2020-11-17
126340,비나텍,2020-09-23
347770,핌스,2020-09-18
032300,한국파마,2020-08-10
262260,에이프로,2020-07-16
330350,위더스제약,2020-07-03
297890,HB솔루션,2020-06-22
353200,대덕전자,2020-05-21
198080,엔피디,2020-03-16
302550,리메드,2019-12-06
297090,씨에스베어링,2019-11-21
216080,제테마,2019-11-14
272110,케이엔제이,2019-10-25
300120,라온피플,2019-10-18
282880,코윈테크,2019-08-05
317330,덕산테코피아,2019-08-02
148150,세경하이테크,2019-07-30
323280,태성,2019-06-24
305090,마이크로디지탈,2019-06-05
003670,포스코퓨처엠,2019-05-29
307950,현대오토에버,2019-03-28
192650,드림텍,2019-03-14
309930,오하임앤컴퍼니,2018-12-20
285490,노바텍,2018-11-02
290650,엘앤씨바이오,2018-11-01
197140,디지캡,2018-09-07
173130,오파스넷,2018-08-24
089970,에이피티씨,2018-08-23
086820,바이오솔루션,2018-08-20
253590,네오셈,2018-04-04
226400,오스테오닉,2018-02-22
255220,SG,2018-01-26
263920,휴엠앤씨,2017-09-28
259630,엠플러스,2017-09-20
171090,선익시스템,2017-09-20
263600,덕우전자,2017-08-28
263860,지니언스,2017-08-02
238490,힘스,2017-07-20
251630,브이원텍,2017-07-13
161580,필옵틱스,2017-06-01
264850,이랜시스,2017-06-01
267260,HD현대일렉트릭,2017-05-10
166090,하나머티리얼즈,2017-04-28
145720,덴티움,2017-03-15
083500,에프엔에스테크,2017-02-27
206650,유바이오로직스,2017-01-24
196300,애니젠,2016-12-07
237880,클리오,2016-11-09
241690,유니테크노,2016-09-20
016740,두올,2016-07-29
195870,해성디에스,2016-06-24
211270,AP위성,2016-03-04
232140,와이아이케이,2015-12-24
013310,아진산업,2015-12-22
047920,HLB제약,2015-12-21
222040,코스맥스엔비티,2015-12-16
212560,네오오토,2015-11-18
226340,본느,2015-11-05
222080,씨아이에스,2015-09-02
224110,에이텍모빌리티,2015-08-25
222800,심텍,2015-08-07
214430,아이쓰리시스템,2015-07-30
214450,파마리서치,2015-07-24
217500,러셀,2015-06-16
214150,클래시스,2015-04-03
187220,디티앤씨,2014-12-17
084650,랩지노믹스,2014-12-16
196170,알테오젠,2014-12-12
204620,글로벌텍스프리,2014-11-19
203650,드림시큐리티,2014-10-13
203690,스피어파워,2014-09-30
200880,서연이화,2014-08-08
059120,아진엑스텍,2014-07-24
192820,코스맥스,2014-04-07
053300,한국정보인증,2014-02-04
131970,두산테스나,2013-10-22
170920,엘티씨,2013-10-08
119850,지엔씨에너지,2013-10-02
180640,한진칼,2013-09-16
099190,아이센스,2013-01-30
046970,우리로,2012-11-27
137400,피엔티,2012-07-06
147830,제룡산업,2012-02-13
122870,와이지엔터테인먼트,2011-11-23
090360,로보스타,2011-10-17
078520,에이블씨엔씨,2011-09-07
121600,나노신소재,2011-02-09
093320,케이아이엔엑스,2011-02-08
131290,티에스이,2011-01-05
900140,엘브이엠씨홀딩스,2010-11-30
033170,시그네틱스,2010-11-26
122690,서진오토모티브,2010-05-25
101330,모베이스,2010-02-04
082920,비츠로셀,2009-10-28
103230,에스앤더블류,2009-08-05
071970,STX중공업,2009-05-15
071670,에이테크솔루션,2009-04-17
101490,에스앤에스텍,2009-04-14
086900,메디톡스,2009-01-16
026940,부국철강,2008-10-14
101390,아이엠,2008-07-23
094840,슈프리마에이치큐,2008-07-11
047560,이스트소프트,2008-07-01
064480,브리지텍,2008-06-04
059210,메타바이오메드,2008-04-15
100840,SNT에너지,2008-02-22
096350,대창솔루션,2007-12-17
092070,디엔에프,2007-11-16
093640,케이알엠,2007-10-19
092200,디아이씨,2007-10-18
094940,푸른기술,2007-09-14
092600,앤씨앤,2007-06-26
001780,알루코,2007-06-07
091580,상신이디피,2007-05-23
091120,이엠텍,2007-05-02
093520,매커스,2007-02-12
089010,켐트로닉스,2007-01-17
090470,제이스텍,2007-01-10
093370,후성,2006-12-22
089890,코세스,2006-11-08
089790,제이티,2006-10-27
038060,루멘스,2006-08-08
039290,인포뱅크,2006-07-04
068760,셀트리온제약,2006-02-03
079370,제우스,2006-02-01
084370,유진테크,2006-01-17
077360,덕산하이메탈,2005-10-14
083930,아바코,2005-10-11
083310,엘오티베큠,2005-10-05
084690,대상홀딩스,2005-08-17
073240,금호타이어,2005-02-17
066910,손오공,2005-01-07
049950,미래컴퍼니,2005-01-04
052460,아이크래프트,2005-01-03
073010,케이에스피,2004-12-17
078600,대주전자재료,2004-12-10
051360,토비스,2004-11-19
023810,인팩,2004-09-21
077500,유니퀘스트,2004-08-05
067160,아프리카TV,2003-12-19
065510,휴비츠,2003-10-31
037270,YG PLUS,2003-08-01
041520,이라이콤,2003-07-04
072130,유엔젤,2003-07-01
011500,한농화성,2003-01-09
064090,웨스트라이즈,2002-12-17
058430,포스코스틸리온,2002-08-16
036010,아비코전자,2002-07-03
051160,지어소프트,2002-05-28
053980,오상자이엘,2002-04-09
060590,씨티씨바이오,2002-02-21
060370,LS마린솔루션,2002-02-15
053270,구영테크,2002-02-07
043260,성호전자,2001-11-29
044490,태웅,2001-11-08
