Ticker,Code,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,Theme,Name
와이지엔터테인먼트,122870,와이지엔터테인먼트,122870,오디오물 출판 및 원판 녹음업,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트",2011-11-23,12월,"양민석, 황보경",http://www.ygfamily.com,서울특별시,엔터테인먼트,와이지엔터테인먼트
디아이,003160,디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",1996-07-31,12월,박원호 조윤형,http://www.di.co.kr,서울특별시,시스템반도체,디아이
HLB,028300,HLB,028300,의료용품 및 기타 의약 관련제품 제조업,"의료기기, 의약외품 등",1996-07-27,12월,"진양곤, 백윤기 (각자대표)",http://hlbbio.co.kr,세종특별자치시,줄기세포,HLB
현대엘리베이,017800,현대엘리베이터,017800,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",1996-07-03,12월,조재천,http://www.hyundaielevator.co.kr,충청북도,남북경협,현대엘리베이
동원금속,018500,동원금속,018500,자동차 신품 부품 제조업,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매",1995-11-10,03월,"이은우, 박승룡",http://www.dwmic.com,경상북도,자동차부품,동원금속
성안,011300,성안,011300,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,12월,"성동훈, 이준영(각자 대표이사)",http://www.startex.co.kr,대구광역시,화학섬유,성안
성우하이텍,015750,성우하이텍,015750,자동차 신품 부품 제조업,자동차범퍼,1995-11-04,12월,"이명근, 이문용(각자대표)",http://www.swhitech.co.kr,부산광역시,자동차부품,성우하이텍
동화기업,025900,동화기업,025900,나무제품 제조업,"PB, MDF, 표면재,온돌마루, 창호, 도어 등",1995-08-07,12월,채광병,http://www.dongwha.co.kr,인천광역시,2차전지,동화기업
시노펙스,025320,시노펙스,025320,전자부품 제조업,"전자부품, 필터",1995-04-20,12월,손경익,http://www.synopex.com,경상북도,스마트폰,시노펙스
메디앙스,014100,메디앙스,014100,기타 화학제품 제조업,"누크, 비비생활용품, 비앙또마망, 지에닉, 닥터 아토피스",1995-01-03,12월,박수찬,http://www.medience.co.kr,서울특별시,엔젤산업,메디앙스
경창산업,024910,경창산업,024910,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품",1994-12-29,12월,"손일호, 강기봉",http://www.kc.co.kr,대구광역시,전기차,경창산업
비츠로셀,082920,비츠로셀,082920,일차전지 및 축전지 제조업,리튬1차전지,2009-10-28,12월,장승국,http://www.vitzrocell.com,충청남도,스마트그리드(지능형전력망),비츠로셀
KBI메탈,024840,KBI메탈,024840,1차 비철금속 제조업,"동ROD, 모터코어",1994-12-29,12월,김재충,http://www.kbimetal.co.kr,대구광역시,전선,KBI메탈
KB오토시스,024120,KB오토시스,024120,자동차 신품 부품 제조업,브레이크패드,1994-12-07,12월,김신완,http://www.kbautosys.com,충청남도,자동차부품,KB오토시스
흥구석유,024060,흥구석유,024060,기타 전문 도매업,휘발유등,1994-12-07,12월,김상우,,대구광역시,윤활유,흥구석유
