Theme,Name,Code
화이자(PFIZER),제주반도체,080220
화이자(PFIZER),대한약품,023910
화이자(PFIZER),유한양행,000100
화이자(PFIZER),파미셀,005690
화이자(PFIZER),제일약품,271980
화이자(PFIZER),서울제약,018680
화이자(PFIZER),그린생명과학,114450
전자결제(전자화폐),인포뱅크,039290
전자결제(전자화폐),SBI핀테크솔루션즈,950110
전자결제(전자화폐),인포바인,115310
전자결제(전자화폐),한국정보통신,025770
전자결제(전자화폐),KG모빌리언스,046440
전자결제(전자화폐),카페24,042000
전자결제(전자화폐),쿠콘,294570
전자결제(전자화폐),NHN,181710
전자결제(전자화폐),다날,064260
전자결제(전자화폐),카카오페이,377300
전자결제(전자화폐),KG이니시스,035600
전자결제(전자화폐),NHN KCP,060250
전자결제(전자화폐),갤럭시아머니트리,094480
전자결제(전자화폐),헥토파이낸셜,234340
터치패널(스마트폰/태블릿PC등),베셀,177350
터치패널(스마트폰/태블릿PC등),토비스,051360
터치패널(스마트폰/태블릿PC등),유아이디,069330
터치패널(스마트폰/태블릿PC등),이미지스,115610
터치패널(스마트폰/태블릿PC등),파인텍,131760
터치패널(스마트폰/태블릿PC등),에코볼트,097780
터치패널(스마트폰/태블릿PC등),미래나노텍,095500
터치패널(스마트폰/태블릿PC등),하이딥,365590
터치패널(스마트폰/태블릿PC등),일진디스플,020760
키오스크(KIOSK),베셀,177350
키오스크(KIOSK),토비스,051360
키오스크(KIOSK),유아이디,069330
키오스크(KIOSK),이미지스,115610
키오스크(KIOSK),파인텍,131760
키오스크(KIOSK),에코볼트,097780
키오스크(KIOSK),미래나노텍,095500
키오스크(KIOSK),하이딥,365590
키오스크(KIOSK),일진디스플,020760
증강현실(AR),위지윅스튜디오,299900
증강현실(AR),덱스터,206560
증강현실(AR),세코닉스,053450
증강현실(AR),맥스트,377030
증강현실(AR),텔레칩스,054450
증강현실(AR),비유테크놀러지,230980
증강현실(AR),드래곤플라이,030350
증강현실(AR),디모아,016670
증강현실(AR),에스넷,038680
증강현실(AR),팅크웨어,084730
증강현실(AR),신도기연,290520
증강현실(AR),버넥트,438700
증강현실(AR),가온그룹,078890
증강현실(AR),라온텍,418420
증강현실(AR),이랜텍,054210
증강현실(AR),아이엠,101390
증강현실(AR),엔씨소프트,036570
증강현실(AR),엠게임,058630
증강현실(AR),이노시뮬레이션,274400
증강현실(AR),젬백스링크,064800
UAM(도심항공모빌리티),베셀,177350
UAM(도심항공모빌리티),LIG넥스원,079550
UAM(도심항공모빌리티),남성,004270
UAM(도심항공모빌리티),한화시스템,272210
UAM(도심항공모빌리티),켄코아에어로스페이스,274090
