,Theme,Name,Code
0,화이자(PFIZER),제주반도체,80220
1,화이자(PFIZER),대한약품,23910
2,화이자(PFIZER),유한양행,100
3,화이자(PFIZER),파미셀,5690
4,화이자(PFIZER),제일약품,271980
5,화이자(PFIZER),서울제약,18680
6,화이자(PFIZER),그린생명과학,114450
7,전자결제(전자화폐),인포뱅크,39290
8,전자결제(전자화폐),SBI핀테크솔루션즈,950110
9,전자결제(전자화폐),인포바인,115310
10,전자결제(전자화폐),한국정보통신,25770
11,전자결제(전자화폐),KG모빌리언스,46440
12,전자결제(전자화폐),카페24,42000
13,전자결제(전자화폐),쿠콘,294570
14,전자결제(전자화폐),NHN,181710
15,전자결제(전자화폐),다날,64260
16,전자결제(전자화폐),카카오페이,377300
17,전자결제(전자화폐),KG이니시스,35600
18,전자결제(전자화폐),NHN KCP,60250
19,전자결제(전자화폐),갤럭시아머니트리,94480
20,전자결제(전자화폐),헥토파이낸셜,234340
21,터치패널(스마트폰/태블릿PC등),베셀,177350
22,터치패널(스마트폰/태블릿PC등),토비스,51360
23,터치패널(스마트폰/태블릿PC등),유아이디,69330
24,터치패널(스마트폰/태블릿PC등),이미지스,115610
25,터치패널(스마트폰/태블릿PC등),파인텍,131760
26,터치패널(스마트폰/태블릿PC등),에코볼트,97780
27,터치패널(스마트폰/태블릿PC등),미래나노텍,95500
28,터치패널(스마트폰/태블릿PC등),하이딥,365590
29,터치패널(스마트폰/태블릿PC등),일진디스플,20760
39,증강현실(AR),위지윅스튜디오,299900
40,증강현실(AR),덱스터,206560
41,증강현실(AR),세코닉스,53450
42,증강현실(AR),맥스트,377030
43,증강현실(AR),텔레칩스,54450
44,증강현실(AR),비유테크놀러지,230980
45,증강현실(AR),드래곤플라이,30350
46,증강현실(AR),디모아,16670
47,증강현실(AR),에스넷,38680
48,증강현실(AR),팅크웨어,84730
49,증강현실(AR),신도기연,290520
50,증강현실(AR),버넥트,438700
51,증강현실(AR),가온그룹,78890
52,증강현실(AR),라온텍,418420
53,증강현실(AR),이랜텍,54210
54,증강현실(AR),아이엠,101390
55,증강현실(AR),엔씨소프트,36570
56,증강현실(AR),엠게임,58630
57,증강현실(AR),이노시뮬레이션,274400
58,증강현실(AR),젬백스링크,64800
60,UAM(도심항공모빌리티),LIG넥스원,79550
61,UAM(도심항공모빌리티),남성,4270
62,UAM(도심항공모빌리티),한화시스템,272210
63,UAM(도심항공모빌리티),켄코아에어로스페이스,274090
64,UAM(도심항공모빌리티),퍼스텍,10820
65,UAM(도심항공모빌리티),KT,30200
66,UAM(도심항공모빌리티),넥센타이어,2350
67,UAM(도심항공모빌리티),파이버프로,368770
68,UAM(도심항공모빌리티),카카오,35720
69,UAM(도심항공모빌리티),제주항공,89590
70,UAM(도심항공모빌리티),한국항공우주,47810
71,UAM(도심항공모빌리티),기산텔레콤,35460
72,UAM(도심항공모빌리티),네온테크,306620
73,UAM(도심항공모빌리티),한화에어로스페이스,12450
74,UAM(도심항공모빌리티),하이즈항공,221840
75,UAM(도심항공모빌리티),서연이화,200880
76,UAM(도심항공모빌리티),GS,78930
77,UAM(도심항공모빌리티),한국카본,17960
78,UAM(도심항공모빌리티),LG유플러스,32640
79,UAM(도심항공모빌리티),SK텔레콤,17670
80,UAM(도심항공모빌리티),대한항공,3490
81,UAM(도심항공모빌리티),현대차,5380
82,UAM(도심항공모빌리티),현대건설,720
84,항공기부품,아스트,67390
86,항공기부품,오르비텍,46120
90,항공기부품,현대위아,11210
91,항공기부품,이엠코리아,95190
94,항공기부품,휴니드,5870
95,항공기부품,두산에너빌리티,34020
96,화폐/금융자동화기기(디지털화폐 등),한네트,52600
97,화폐/금융자동화기기(디지털화폐 등),로지시스,67730
98,화폐/금융자동화기기(디지털화폐 등),케이씨티,89150
99,화폐/금융자동화기기(디지털화폐 등),케이씨에스,115500
100,화폐/금융자동화기기(디지털화폐 등),한국전자금융,63570
101,화폐/금융자동화기기(디지털화폐 등),푸른기술,94940
102,화폐/금융자동화기기(디지털화폐 등),풍산,103140
103,화폐/금융자동화기기(디지털화폐 등),프리엠스,53160
104,화폐/금융자동화기기(디지털화폐 등),누리플렉스,40160
107,영상콘텐츠,래몽래인,200350
109,영상콘텐츠,NEW,160550
110,영상콘텐츠,스튜디오미르,408900
111,영상콘텐츠,포바이포,389140
112,영상콘텐츠,스튜디오산타클로스,204630
113,영상콘텐츠,자이언트스텝,289220
114,영상콘텐츠,쇼박스,86980
115,영상콘텐츠,에이스토리,241840
116,영상콘텐츠,대원미디어,48910
117,영상콘텐츠,콘텐트리중앙,36420
118,영상콘텐츠,SAMG엔터,419530
119,영상콘텐츠,애니플러스,310200
120,영상콘텐츠,KX,122450
121,영상콘텐츠,바른손,18700
122,영상콘텐츠,삼화네트웍스,46390
123,영상콘텐츠,CJ ENM,35760
124,영상콘텐츠,SM C&C,48550
125,영상콘텐츠,SM Life Design,63440
126,영상콘텐츠,캐리소프트,317530
127,영상콘텐츠,케이티알파,36030
128,영상콘텐츠,키이스트,54780
129,영상콘텐츠,에프엔씨엔터,173940
130,영상콘텐츠,바른손이앤에이,35620
131,영상콘텐츠,JYP Ent.,35900
132,영상콘텐츠,팬엔터테인먼트,68050
133,영상콘텐츠,SBS콘텐츠허브,46140
134,영상콘텐츠,코퍼스코리아,322780
135,영상콘텐츠,큐로홀딩스,51780
136,영상콘텐츠,SBS,34120
137,영상콘텐츠,스튜디오드래곤,253450
138,영상콘텐츠,빅텐츠,210120
139,영상콘텐츠,와이랩,432430
140,광고,와이더플래닛,321820
141,광고,FSN,214270
142,광고,엔피,291230
143,광고,오리콤,10470
144,광고,나스미디어,89600
145,광고,레뷰코퍼레이션,443250
146,광고,와이즈버즈,273060
147,광고,케어랩스,263700
148,광고,인크로스,216050
150,광고,비케이홀딩스,50090
151,광고,HS애드,35000
152,광고,지어소프트,51160
153,광고,이엠넷,123570
154,광고,YG PLUS,37270
155,광고,모비데이즈,363260
156,광고,엔비티,236810
157,광고,제일기획,30000
158,광고,이노션,214320
159,광고,아시아경제,127710
160,광고,에코마케팅,230360
161,광고,플레이디,237820
163,지능형로봇/인공지능(AI),로보티즈,108490
164,지능형로봇/인공지능(AI),고영,98460
165,지능형로봇/인공지능(AI),라온피플,300120
166,지능형로봇/인공지능(AI),유진로봇,56080
167,지능형로봇/인공지능(AI),알에프세미,96610
168,지능형로봇/인공지능(AI),알체라,347860
169,지능형로봇/인공지능(AI),로보스타,90360
170,지능형로봇/인공지능(AI),링크제니시스,219420
171,지능형로봇/인공지능(AI),엠로,58970
172,지능형로봇/인공지능(AI),인포마크,175140
173,지능형로봇/인공지능(AI),삼성에스디에스,18260
174,지능형로봇/인공지능(AI),크라우드웍스,355390
176,지능형로봇/인공지능(AI),모아데이타,288980
177,지능형로봇/인공지능(AI),에브리봇,270660
178,지능형로봇/인공지능(AI),로보로보,215100
179,지능형로봇/인공지능(AI),휴림로봇,90710
180,지능형로봇/인공지능(AI),티로보틱스,117730
181,지능형로봇/인공지능(AI),스맥,99440
182,지능형로봇/인공지능(AI),데이타솔루션,263800
183,지능형로봇/인공지능(AI),줌인터넷,239340
184,지능형로봇/인공지능(AI),큐렉소,60280
185,지능형로봇/인공지능(AI),브레인즈컴퍼니,99390
186,지능형로봇/인공지능(AI),핀텔,291810
187,지능형로봇/인공지능(AI),미래컴퍼니,49950
188,지능형로봇/인공지능(AI),트윔,290090
189,지능형로봇/인공지능(AI),코난테크놀로지,402030
190,지능형로봇/인공지능(AI),에이디칩스,54630
191,지능형로봇/인공지능(AI),오픈베이스,49480
193,지능형로봇/인공지능(AI),네패스,33640
194,지능형로봇/인공지능(AI),러셀,217500
195,지능형로봇/인공지능(AI),유일로보틱스,388720
197,지능형로봇/인공지능(AI),LG전자,66570
198,지능형로봇/인공지능(AI),네오펙트,290660
199,지능형로봇/인공지능(AI),한국전자인증,41460
200,지능형로봇/인공지능(AI),모비스,250060
201,지능형로봇/인공지능(AI),오브젠,417860
202,지능형로봇/인공지능(AI),엑셈,205100
203,지능형로봇/인공지능(AI),셀바스AI,108860
204,지능형로봇/인공지능(AI),위세아이텍,65370
205,지능형로봇/인공지능(AI),영우디에스피,143540
