Date,와이지엔터테인먼트,비츠로셀,에스앤더블류,STX중공업,에이테크솔루션,에스앤에스텍,디아이,HLB,현대엘리베이,동원금속,성안,성우하이텍,동화기업,시노펙스,메디앙스,경창산업,KBI메탈,KB오토시스,홍구석유,웅진,모베이스전자,LS ELECTRIC,부방,화신,일지테크,세아베스틸지주,태경비케이,극동유화,아센디오,한올바이오파마
2011-11-23,29263,3076,2305,2718772,9190,3410,1130,829,79265,1677,798,14173,4794,1828,26949,2857,2901,5910,1825,10244,2005,57600,757,14850,2410,54500,1920,1640,84953,8840
2011-11-24,33641,3098,2455,2691585,9040,3470,1125,809,73230,1724,781,13616,4964,1818,28504,2829,2840,5870,1640,10080,2065,59100,754,14700,2435,54300,1945,1635,83571,8850
2011-11-25,29787,3090,2400,2628147,8980,3485,1110,803,71311,1794,746,12939,4445,1730,26773,2721,3046,5320,1575,9879,1873,57400,744,14300,2380,53800,1945,1635,83986,8170
2011-11-28,29376,3079,2500,2718772,9200,3540,1130,789,71036,1785,742,12660,4410,1867,27811,2672,3050,5100,1575,9971,1882,58500,739,14300,2385,55200,1940,1640,87853,8460
2011-11-29,29376,3106,2550,2687053,9540,3540,1150,789,75150,1873,742,13098,4452,1838,28761,2690,3013,5380,1645,10044,2044,60600,744,14650,2405,56900,1960,1650,86887,7920
2011-11-30,27691,3098,2570,2687053,9050,3455,1125,775,76248,1864,746,12700,4587,1838,28675,2681,2948,5000,1650,10754,2018,61300,757,14400,2300,56800,1950,1650,88268,8020
2011-12-01,28440,3158,2580,2786742,9410,3500,1155,775,77893,1873,760,12860,4730,1852,32906,2715,2896,5080,1685,10390,2027,62800,759,14500,2385,57400,1960,1660,85643,8310
2011-12-02,27467,3170,2620,2832055,9390,3510,1130,785,80362,1855,750,12580,4694,1945,31525,2693,2882,4895,1675,10281,1954,62200,840,14500,2445,56600,1980,1660,85229,8060
2011-12-05,26307,3296,2790,2809398,9370,3510,1145,833,79813,1817,751,12421,4666,1945,30836,2668,3022,5200,1650,10663,1984,63000,938,14700,2410,57400,1970,1660,86057,7790
2011-12-06,27504,3209,2830,2745960,9200,3595,1195,877,78991,1757,749,12620,4644,2234,30920,2666,3261,4950,1645,10244,1912,61800,858,14800,2395,54500,1960,1655,84676,7830
2011-12-07,26606,3219,2825,2764085,9540,3585,1200,847,79265,1733,765,12780,4658,2385,34031,2681,3317,5140,1630,10281,1976,62900,840,14900,2385,51800,2010,1650,84262,7790
