Date,SK하이닉스,POSCO홀딩스,기아,포스코퓨처엠,메리츠금융지주,HD한국조선해양,한화오션,삼성중공업,한화에어로스페이스,CJ,LS,CJ대한통운,DB하이텍,한미사이언스,한전기술,LS ELECTRIC,한국앤컴퍼니,OCI홀딩스,한올바이오파마,현대엘리베이,삼양식품,금호타이어,두산,LX세미콘,에스엘,코스모화학,SK가스,SK네트웍스,한샘,후성,영원무역홀딩스,세아베스틸지주,세아제강지주,넥센타이어,세방전지,한국단자,SK디스커버리,JW중외제약,DI동일,HSD엔진,한화투자증권,경동나비엔,자화전자,SNT다이내믹스,빙그레,흥아해운,대상홀딩스,코리아써키트,엘브이엠씨홀딩스,신성이엔지,E1,LX하우시스,삼화콘덴서,현대퓨처넷,화신,광동제약,풍산홀딩스,KISCO홀딩스,아세아,STX중공업,남선알미늄,대원강업,사조대림,포스코스틸리온,알루코,대한제당,스틱인베스트먼트,YG PLUS,한농화성,현대비앤지스틸,한솔테크닉스,GS글로벌,디아이씨,태경비케이,우진,벽산,디아이,에이블씨엔씨,NI스틸,SNT에너지,태경케미컬,디와이,극동유화,가온전선,국제약품,한국수출포장,유니퀘스트,DRB동일,아센디오,웅진,광명전기,부국철강,성안,화천기계,콤텍시스템,인팩,상신브레이크,동원금속,평화산업,유엔젤,태원물산,한성기업,한국주강,HLB,셀트리온제약,JYP Ent.,리노공업,에스엠,동진쎄미켐,이오테크닉스,메디톡스,삼천당제약,나노신소재,동화기업,대주전자재료,SFA반도체,에스앤에스텍,와이지엔터테인먼트,유진테크,차바이오텍,솔브레인홀딩스,아프리카TV,이엠텍,성우하이텍,에프에스티,우리기술투자,티에스이,케이아이엔엑스,제우스,네패스,월덱스,테스,시노펙스,테크윙,비츠로셀,하이록코리아,켐트로닉스,이엔에프테크놀로지,엘오티베큠,한글과컴퓨터,인바디,덕산하이메탈,미래컴퍼니,제룡전기,태웅,LS마린솔루션,디엔에프,로보스타,동국산업,토비스,케이알엠,유니셈,네오위즈홀딩스,대아티아이,아바코,마크로젠,GST,씨티씨바이오,가비아,상신이디피,한양디지텍,한국전자금융,휴비츠,부방,네오팜,아비코전자,코아시아,에코플라스틱,코세스,피에이치에이,매커스,팅크웨어,제이스텍,동양이엔피,이스트소프트,모베이스전자,세종텔레콤,지어소프트,인성정보,KNN,에이티넘인베스트,오리엔탈정공,삼보모터스,3S,유비벨록스,대성창투,흥구석유,파라텍,솔본,케이에스피,시그네틱스,에이테크솔루션,유아이엘,세코닉스,우수AMS,에이텍,오상자이엘,메타바이오메드,EG,라온시큐어,인포뱅크,YBM넷,피제이메탈,시공테크,코리아에프티,제이티,한국컴퓨터,이라이콤,경창산업,브리지텍,에이루트,손오공,모베이스,제일테크노스,웨이브일렉트로,구영테크,성호전자,프리엠스,푸른기술,슈프리마에이치큐,서진오토모티브,누리플렉스,대창솔루션,제이엠티,루멘스,웨스트라이즈,아이크래프트,오스템,아이엠,KB오토시스,재영솔루텍,일지테크,KBI메탈,팬스타엔터프라이즈,모헨즈,앤씨앤,토탈소프트,메디앙스,뉴보텍,세동,에스앤더블류,스카이문스테크놀로지
2022-01-03,128500,280000,82600,143500,45500,94000,20389,5680,49600,84000,54500,129000,76900,54485,88200,55600,15550,82247,21550,41150,96300,4505,123000,167800,31600,13854,124500,4960,93300,22750,46900,20150,100000,6950,76000,75600,46350,22435,26190,6620,6710,55500,24950,8900,53000,2725,9640,31150,2487,2165,47650,62500,60500,4225,8450,7530,27950,14450,126000,4700,2560,3725,26550,56200,3495,3000,14650,8000,16450,16250,7760,2380,5750,5040,8270,4070,10000,6520,3385,18800,12400,6540,3875,20015,5550,2560,6275,5160,1380,1710,2585,4320,888,2580,944,13350,3820,942,1740,5360,5650,6510,5370,32559,118667,50700,199000,73600,46700,122000,136373,44900,63800,93500,103200,7780,36700,56300,52800,20300,34350,202900,30418,5750,26400,9290,74800,50400,23700,39000,29050,29650,2801,11468,14400,16950,28950,34050,16900,26950,23650,10225,32301,5240,11000,5460,23400,29750,3550,8880,4555,14600,88900,5600,12600,29950,37450,9020,13350,15200,18150,5510,9000,2550,24850,12450,10300,2811,15950,10200,8000,20300,6660,18600,18150,1920,1167,18750,2960,1395,5580,3710,5720,3300,20550,2752,7150,2390,5630,1865,2540,16400,2760,9490,4950,23750,7400,2915,13550,4005,24150,7030,5240,6750,3400,10550,5290,8930,3490,5770,722,2430,4070,6510,5470,3375,1610,18500,9620,7420,2985,9150,500,4295,1230,2185,4460,2305,7010,6650,1220,3345,1980,902,5320,4215,10500,6250,1295,1395,2505,829
2022-01-04,128500,286500,83500,142000,48000,98700,20922,5740,50400,84000,55000,129000,76800,53405,84400,55700,15700,84631,21200,40850,96300,4510,121000,161900,31700,13940,125000,4940,91600,23400,46900,20100,102500,7080,75100,74200,46550,22581,26386,6832,6540,54700,26850,8900,52900,2690,9550,30250,2476,2175,47800,64700,59600,4205,9010,7530,28500,14900,134500,4880,2560,3735,27900,58100,3545,3005,14500,7870,17150,16600,7770,2475,5900,5060,8180,4095,9800,6500,3495,18600,12700,6790,3880,19932,5523,2570,6250,5140,1385,1730,2605,4345,888,2705,939,13400,3865,955,1755,5410,5930,6520,5320,32200,115140,48050,196200,70700,45900,120500,133694,44100,63900,91900,103400,7660,35900,54800,52800,19850,34900,190100,30516,6080,26400,9080,73200,53400,24350,38100,28450,29100,2801,11240,14750,16950,30050,34100,16350,26400,23200,9825,33180,5300,11000,5630,23400,29950,3550,9160,5040,14200,83800,5620,12750,29700,36800,9200,13550,15900,17850,5530,9080,2590,25000,12150,10250,2844,16150,10550,7960,21450,6700,18850,18350,1925,1162,20300,2965,1405,5630,3760,5940,3315,20800,2752,7290,2370,5720,1925,2545,16200,2985,9140,4895,24450,7390,2970,13800,4255,26450,7070,5240,6830,3440,10400,5230,8970,3540,6090,728,2440,4055,6410,5470,3540,1625,19800,9950,7620,2990,9310,501,4215,1255,2160,4455,2305,6860,6780,1240,3375,1990,904,5220,4380,11700,6250,1330,1395,2505,829
2022-01-05,125500,295500,85900,138000,47000,98400,20966,5780,50900,82900,54000,126500,74400,51736,78600,55100,15550,83042,20500,41050,95200,4510,123000,157700,32250,13424,129000,4865,90300,22100,47400,20750,109000,7170,73000,75200,46750,22387,26190,6966,6220,56000,26500,8910,52800,2690,9500,29350,2456,2105,47750,64800,58500,4170,9100,7570,28950,15100,135500,5330,2565,3720,27500,59200,3500,2980,14150,7780,16500,17250,7630,2510,6180,4950,8100,4070,9370,6510,3565,18450,12600,6670,3875,20015,5587,2595,6275,5230,1355,1665,2560,4395,888,2660,998,13150,3855,925,1735,5410,6400,6470,5250,31976,109421,46950,196700,66600,43300,116700,132450,42650,60500,88000,99700,7360,34150,53600,51600,19700,33850,182000,30613,6070,25350,8830,70600,54000,23650,36450,27500,28050,2771,10734,14350,17000,29200,33350,16250,25350,22700,9450,32204,5280,11000,5580,22450,28000,3510,9500,5900,13500,84100,5640,12250,29600,35100,9180,13250,15950,16850,5470,8950,2510,24450,11450,9900,2791,14950,10400,8750,20800,6700,18500,17450,1880,1134,18850,2880,1400,5520,3980,5940,3360,20700,2790,7200,2300,5700,1980,2375,16750,2995,9100,4935,25850,7290,3070,13800,4175,23950,6910,5130,6810,3390,10100,5150,9000,3700,6350,707,2505,3890,5790,5740,3410,1645,19950,10400,7560,2985,9330,518,4180,1250,2145,4265,2340,6800,6760,1220,3310,2040,930,5210,4260,11700,6250,1330,1425,2505,829
2022-01-06,125000,304500,85600,134000,46800,102000,22121,5880,49400,81300,54000,125500,72300,49969,75300,54900,15200,83439,19750,40750,94700,4495,113500,150200,31100,12993,124500,4875,87000,22000,48050,21750,112000,7250,71300,72800,46650,22144,26091,7359,5880,54500,26850,8870,52100,2590,9450,29700,2429,2050,47600,65800,57400,4130,9010,7560,28800,15550,139000,5310,2570,3670,26600,59700,3580,2950,13300,7290,16300,17300,7550,2475,6160,4850,7910,4000,9390,6350,3740,18050,12450,6540,3820,20469,5733,2595,5975,5230,1310,1670,2560,4440,888,2535,967,13100,3830,926,1710,5250,6050,6350,5100,30945,103702,44850,189800,61900,42100,114000,127760,41000,59900,87200,96500,7210,33700,51600,49300,19250,32700,170100,32078,5950,24750,8170,69300,54500,23450,35550,26850,27650,2742,10481,14300,17400,27900,32300,15850,24050,22350,9250,32204,5200,11000,5540,21650,25800,3515,9500,5360,13300,73300,5400,11800,29350,34100,9120,12900,16700,16350,5810,8690,2560,24350,11250,9730,2791,13500,10200,8500,20050,6600,18100,16100,1880,1121,18050,2735,1355,5050,4415,5870,3310,20000,2696,7120,2495,5480,1920,2515,15700,2940,9040,4895,29700,7390,3095,13400,4030,22750,6580,5010,6940,3330,9860,5290,9170,3690,6150,671,2435,3890,5830,5850,3385,1605,21150,10850,8710,3000,8910,523,3990,1245,2080,4255,2440,6620,6730,1215,3330,1975,900,5060,4145,12250,6250,1345,1340,2505,829
2022-01-07,127000,305000,86700,133500,49300,100500,22388,5880,50100,81900,54500,127500,77900,49969,77300,54900,15250,85823,20100,40850,98500,4490,113500,151000,31800,12907,130500,4865,89000,22150,48100,21600,108500,7190,71400,73000,46450,22095,26288,7201,5930,55500,26950,8910,52600,2625,9470,31450,2459,2055,48000,66300,58200,4125,9270,7560,28900,15350,137000,5390,2575,3700,26950,59600,3555,2950,13300,7370,16300,17600,7710,2470,6100,5010,7970,4000,9450,6350,3750,18450,12600,6830,3935,20675,5505,2570,6250,5320,1350,2085,2610,4440,888,2670,1000,14000,3825,935,1715,5450,6440,6470,5270,31393,103035,45750,189300,63700,42850,116500,125942,41600,61500,86500,96600,7320,34150,51800,50500,19350,33450,170400,31980,5900,25300,8370,71000,54300,23700,36300,27050,28150,2752,10709,14300,17250,28950,33100,16700,24550,22700,9825,33375,5220,11000,5790,21800,26950,3525,9790,5300,13550,76500,5380,12000,29900,35050,9290,13200,16600,17400,5780,8910,2575,24650,11900,9830,2830,13900,10300,9360,20400,6650,18250,16550,1940,1140,18000,2765,1365,5170,4265,5910,3455,20950,2799,7360,2670,5610,1930,2580,17400,2965,10650,5040,27850,7240,3025,13600,4145,23000,6650,5030,6910,3355,10150,5290,9400,3695,6350,700,2480,4065,6360,5910,3370,1685,19500,11050,8420,3015,9310,508,4045,1255,2140,4475,2420,6680,6650,1215,3365,2035,908,5130,4360,11150,6250,1335,1400,2505,829
2022-01-10,124500,304000,83800,130500,48250,102500,22699,5900,51100,81500,54700,126000,78000,49086,78800,55200,15050,83439,19850,40500,96600,4520,115000,146700,30800,12305,129500,4880,86600,22200,49200,21850,108500,7220,69900,71100,46000,22192,25796,7515,5720,54900,25850,8860,52900,2525,9310,29550,2392,2025,47900,66400,57300,3995,9120,7400,29150,15250,138000,5160,2750,3660,28150,58000,3470,2925,12800,7130,15700,16950,7640,2390,5970,4890,8370,3980,9270,6100,3735,19500,12350,6750,3880,20427,5477,2570,6075,5220,1310,2075,2670,4590,888,2675,1000,13700,3820,940,1710,5400,6020,6460,5080,31841,102654,45250,183900,63400,40250,113000,124985,40250,59300,84100,94300,7100,33100,51000,48250,18550,32750,165900,31639,5850,24750,8370,67800,56400,23250,34950,26300,27950,2722,10354,14100,17400,29200,32100,16300,24400,22700,9775,33326,5150,11000,5570,21050,27150,3525,9860,4835,13050,71700,5220,11800,29500,34150,9350,13050,16250,17550,5810,8980,2535,24150,11550,10050,2753,13900,10000,8860,20300,6580,18250,16550,1940,1125,17850,2800,1315,5180,4150,5790,3345,19900,2771,7250,2580,5450,1935,2455,16600,2885,10800,5250,25650,7120,2975,13700,4160,21600,6750,4950,6750,3260,9770,5250,9130,3530,6570,696,2390,4105,6500,5890,3340,1680,17750,10050,8120,3055,9280,513,3975,1230,2170,5080,2395,6460,6650,1170,3360,2000,900,5120,4360,10450,6250,1325,1390,2505,829
2022-01-11,128000,300000,84100,126500,49350,99900,22343,5870,50200,80300,54000,126000,78000,49675,77600,54100,14700,81850,19800,39900,94100,4515,111000,146400,30150,12089,126000,4795,88600,21900,49200,20700,103500,7110,68100,70100,46000,21707,25057,7594,5480,54200,25900,8860,52900,2470,9300,28900,2372,1980,47650,65100,69600,3915,8750,7240,28650,15150,136500,4995,2590,3615,28000,57500,3405,2830,12400,6810,15600,16550,7540,2330,5900,4745,8240,3875,9100,6090,3700,19850,12200,6540,3765,20015,5185,2540,6000,5220,1285,1935,2590,4305,888,2565,962,13400,3730,935,1665,5520,5780,6390,4935,31483,103798,45700,184600,66000,39300,112800,125368,38100,57100,81800,93700,7130,32700,50200,48500,18400,32300,164200,32420,5700,24400,8130,68100,56000,23250,34700,26450,28000,2664,10329,13950,17600,28850,34150,16050,23700,22450,9500,31667,5100,11000,5450,20650,25650,3460,9690,4190,13250,67300,5110,11600,28900,33800,9250,12850,16100,18950,5950,8700,2465,23800,11450,10100,2661,13150,9840,8470,20150,6600,17950,16250,1895,1119,17850,2720,1305,5260,4045,5580,3275,19850,2743,7030,2450,5230,1930,2460,16100,2845,11000,5080,24500,7030,2920,14000,4085,22750,6540,4970,6340,3175,9670,5190,9020,3410,6050,672,2330,3905,6820,5830,3210,1875,17550,9670,8100,3060,8880,495,4070,1205,2165,4840,2320,6230,6470,1125,3310,1975,899,4960,4480,10000,6250,1285,1320,2505,829
2022-01-12,128500,305500,85100,132500,51400,100500,22166,5790,50400,82500,55100,127500,82100,50558,79700,54800,15000,82644,20050,40200,95000,4600,116000,149500,30750,12649,128000,4855,88200,24250,49600,19950,106500,7120,71300,72700,47050,21755,26485,7884,5510,54900,26100,8930,53000,2470,9330,29200,2408,2025,47850,65700,68200,3990,8890,7300,29050,15300,138000,5150,2590,3635,28050,59600,3455,2875,12500,6930,15650,17150,7620,2380,6070,4840,8380,3925,9380,6160,3730,19350,12400,6650,3975,20511,5249,2555,6050,5230,1285,2035,2630,4365,888,2660,972,14050,3860,963,1710,5520,5780,6440,4925,32380,104465,45900,186400,67500,39950,116200,128239,40100,59900,86000,96400,7260,33550,51100,49250,18900,33550,168300,33592,5750,24850,8300,68700,56700,23250,35550,27150,28450,2718,10506,14000,17900,29400,36300,16350,23600,23250,10100,32350,5190,11000,5470,20950,25500,3490,10200,4265,13400,76800,5210,11800,29400,34550,9590,13050,16350,18600,5870,8830,2550,23800,11500,10550,2801,13500,10100,8480,20400,6850,18050,16600,1965,1123,18200,2755,1320,5230,4095,6250,3285,20150,2766,7240,2505,5330,1920,2485,16950,2900,11500,5060,23550,7070,3050,14500,4095,23150,6590,4965,6290,3265,10000,5360,9200,3630,6060,681,2380,4395,6610,5910,3535,1780,16400,9850,8370,3105,9240,497,4300,1245,2160,5200,2380,6530,6970,1145,4300,2075,917,5040,4450,9880,6250,1310,1350,2505,829
2022-01-13,129500,306500,84900,132000,53700,98900,22432,5740,52500,82900,57200,128000,82200,49773,77200,57000,14900,81452,19800,40700,92700,4470,112000,147400,30650,12907,127000,4935,86700,24550,50400,20000,106000,7120,71000,73700,46350,21270,26239,7836,5540,54900,25950,9050,53100,2455,9290,28850,2416,2015,47900,65700,67600,4080,8950,7300,29400,15600,139500,5130,2675,3695,28750,60100,4385,2880,12150,6920,18000,17000,7630,2390,5900,4835,8350,3860,9300,6140,3800,19000,12450,6950,3975,20469,5267,2545,6275,5250,1220,1945,2680,4360,888,2570,973,14150,4105,963,1760,5560,5720,6520,5000,31931,102463,45500,184800,69000,41150,117300,124602,39700,59600,84800,95400,7150,33150,50500,49000,18600,33250,161200,35642,5850,24300,8270,70600,56500,23500,35050,27150,28050,2722,10329,14150,17750,29000,35650,16400,23050,22650,10250,31325,5140,11000,5500,21100,27500,3480,10650,4290,13600,76900,5170,12400,28950,34550,9510,12950,17250,18300,5840,8780,2520,23850,11400,10150,2864,13250,10050,8500,20750,6810,18050,16000,1970,1148,18150,2700,1315,5160,4020,6460,3210,20450,2729,7240,2550,5280,1885,2630,16750,2910,11550,4890,25050,7010,3020,14650,4030,23300,6520,5090,6160,3395,9760,5270,9160,3630,6090,674,2410,4350,6310,5960,3525,1720,16750,9820,8220,3150,9150,500,4350,1250,2275,5000,2390,6750,6940,1145,4225,2080,955,5000,4525,9960,6250,1295,1365,2505,829
2022-01-14,128500,299000,83800,130000,51900,97300,22432,5670,52900,81300,57000,124500,84500,48939,77000,55500,14650,75095,19650,39950,92100,4365,112500,146200,29900,12692,125000,4880,84900,24950,50400,19500,106500,7220,69200,75100,45600,21221,25993,8002,5430,54900,26200,9150,53000,2385,9520,30000,2361,1990,47500,64000,68300,4010,8830,7300,29400,15350,138000,5060,2615,3690,27750,58200,4330,2820,12100,6750,18000,16750,7520,2345,5860,4840,8310,3770,9480,6180,3945,19450,12600,7200,3855,20304,5167,2545,6275,5240,1185,1930,2635,4280,888,2620,957,14100,4060,964,1755,5320,5670,6520,4945,31079,90168,44400,186700,68200,40650,119000,122210,39550,57500,83900,94000,7230,33300,49200,53200,18300,32600,151300,37595,5710,24250,8100,71300,57000,23400,34900,27900,28150,2708,10430,15200,17450,29350,35650,16450,22950,22800,10250,29959,5110,11000,5400,21400,27050,3465,10350,4110,13450,69700,5100,12400,28650,35050,9460,12850,17000,18900,5670,8820,2460,23800,11300,10250,2830,12950,9920,8470,20500,6820,18000,15850,1995,1138,18750,2600,1300,5040,4035,6310,3120,20350,2678,7190,2480,5200,1935,2645,16700,2870,11950,4840,25100,7050,3165,13850,3995,23700,6360,4975,6090,3375,9600,5080,9030,3520,6320,656,2330,4270,6140,6030,3485,1715,16950,9450,8110,3200,9090,496,4300,1250,2380,4805,2355,6590,6920,1135,4195,2050,929,5000,4575,9530,6250,1290,1310,2505,829
